NAME,Current,Real,Real Tax
SO,61.85,9.2,6.62
LUV,57.86,69.19,49.82
SPGI,253.39,113.93,82.03
SWK,159.24,104.0,74.88
SBUX,82.99,57.27,41.23
STT,70.99,83.38,60.03
SYK,201.01,78.37,56.43
STI,70.71,72.54,52.23
SIVB,not Found
SYF,36.82,43.23,31.13
SNPS,not Found
SYY,81.06,34.23,24.65
TMUS,81.86,80.57,58.01
TROW,120.06,nan,nan
TTWO,not Found
TPR,25.93,20.35,14.65
TGT,110.51,77.46,55.77
TEL,93.94,nan,nan
FTI,not Found
TFX,334.95,31.36,22.58
TXN,120.36,nan,nan
TXT,46.93,40.72,29.32
TMO,294.57,nan,nan
TIF,124.69,26.99,19.43
TWTR,29.54,6.75,4.86
TJX,58.83,29.96,21.57
TSCO,95.93,58.57,42.17
TDG,536.42,188.12,135.44
TRV,132.35,147.3,106.06
TRIP,40.79,21.45,15.44
TSN,83.47,45.13,32.49
UDR,not Found
ULTA,243.99,179.79,129.45
USB,58.76,43.46,31.29
UAA,18.17,-0.73,-0.53
UA,not Found
UNP,176.34,119.92,86.34
UAL,93.34,180.74,130.13
UNH,250.52,209.52,150.86
UPS,121.95,100.76,72.55
URI,147.14,267.13,192.33
UTX,148.31,117.54,84.63
UHS,139.92,161.46,116.25
UNM,29.49,45.32,32.63
VFC,86.11,36.92,26.58
VLO,100.35,253.3,182.38
VAR,not Found
VTR,not Found
VRSN,not Found
VRSK,140.78,59.79,43.05
VZ,60.13,69.8,50.25
VRTX,195.97,-46.78,-33.68
VIAB,22.01,35.49,25.55
V,176.77,72.53,52.22
VNO,65.26,34.23,24.65
VMC,138.12,47.13,33.93
WAB,77.92,31.72,22.84
WMT,119.5,45.32,32.63
WBA,59.49,94.73,68.21
DIS,131.27,91.7,66.02
WM,109.93,59.62,42.93
WAT,not Found
WEC,91.21,58.9,42.41
WCG,not Found
WFC,53.29,33.66,24.24
WELL,not Found
WDC,53.72,-0.31,-0.22
WU,27.47,11.18,8.05
WRK,39.24,44.8,32.25
WY,29.54,-305.41,-219.89
WHR,156.46,73.45,52.89
WMB,22.24,-7.29,-5.25
WLTW,186.67,85.01,61.21
WYNN,122.56,41.59,29.94
XEL,61.26,39.25,28.26
XRX,37.66,22.2,15.98
XLNX,not Found
XYL,78.2,36.96,26.61
YUM,100.09,35.07,25.25
ZBH,143.22,7.93,5.71
ZION,50.37,95.01,68.41
ZTS,121.47,31.36,22.58
